glottocode,name,level,glot_path,family
visi1243,Visik,dialect,afro1255/chad1250/bium1280/nort3156/lama1287/vemg1240/visi1243,afro1255
luwa1242,Luwa,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/kilb1234/huba1236/luwa1242,afro1255
huba1236,Huba,language,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/kilb1234/huba1236,afro1255
marg1266,Marghi South,language,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/kilb1234/marg1266,afro1255
kilb1234,Kilba-South Margi,family,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/kilb1234,afro1255
gula1275,Gulak,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/marg1265/gula1275,afro1255
gwar1244,Gwara (Marghi),dialect,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/marg1265/gwar1244,afro1255
lass1239,Lassa,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/marg1265/lass1239,afro1255
marg1265,Marghi Central,language,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/marg1265,afro1255
wurg1238,Wurga,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/marg1265/wurg1238,afro1255
bium1270,Marghic,family,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270,afro1255
hyil1238,Hyil Hawul,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/bura1292/hyil1238,afro1255
bura1292,Bura-Pabir,language,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/bura1292,afro1255
pabi1240,Pabir,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/bura1292/pabi1240,afro1255
pela1248,Pela (Nigeria),dialect,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/bura1292/pela1248,afro1255
ciba1236,Cibak,language,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/ciba1236,afro1255
bura1297,Buraic,family,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297,afro1255
nggw1242,Nggwahyi,language,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/nggw1242,afro1255
puta1243,Putai,language,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/puta1243,afro1255
bura1296,Bura-Marghi,family,afro1255/chad1250/bium1280/nort3156/marg1267/bura1296,afro1255
dghw1239,Dghwede,language,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/dghw1239,afro1255
cine1238,Cineni,language,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gudu1253/cine1238,afro1255
chen1265,Chena,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gudu1253/gudu1252/chen1265,afro1255
chik1255,Chikide,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gudu1253/gudu1252/chik1255,afro1255
gava1240,Gava,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gudu1253/gudu1252/gava1240,afro1255
gudu1252,Guduf-Gava,language,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gudu1253/gudu1252,afro1255
gudu1253,Gudufic,family,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gudu1253,afro1255
gvok1239,Gvoko,language,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gvok1239,afro1255
dghw1240,Dghwedeic,family,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240,afro1255
mand1472,Mandaraic,family,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472,afro1255
mata1306,Matal,language,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/podo1243/mata1306,afro1255
podo1243,Podoko,family,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/podo1243,afro1255
park1239,Parkwa,language,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/podo1243/park1239,afro1255
bokw1242,Bokwa,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280/glav1244/bokw1242,afro1255
glav1244,Glavda,language,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280/glav1244,afro1255
ngos1242,Ngoshie (Glavda),dialect,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280/glav1244/ngos1242,afro1255
nucl1680,Nuclear Glavda,dialect,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280/glav1244/nucl1680,afro1255
wand1280,Wandala-Malgwa-Glavda,family,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280,afro1255
malg1251,Malgwa,language,afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280/wand1281/malg1251,afro1255
